Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code
E1 6AN,Yes,51.518895,-0.078378,533425,181747,TQ334817,"Bishopsgate","City of London, unparished area",1980-01-01,,32,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7AA,Yes,51.515567,-0.075635,533625,181382,TQ336813,"Portsoken","City of London, unparished area",2000-12-01,,28,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7AD,Yes,51.515457,-0.076718,533550,181368,TQ335813,"Portsoken","City of London, unparished area",2013-09-01,,31,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7AE,Yes,51.515613,-0.076899,533537,181385,TQ335813,"Portsoken","City of London, unparished area",2013-07-01,,30,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7AF,Yes,51.515613,-0.076899,533537,181385,TQ335813,"Portsoken","City of London, unparished area",2013-01-01,,30,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7AW,Yes,51.51563,-0.076279,533580,181388,TQ335813,"Portsoken","City of London, unparished area",1980-01-01,,29,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7AX,Yes,51.515526,-0.078592,533420,181372,TQ334813,"Aldgate","City of London, unparished area",2017-05-01,,16,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7AY,Yes,51.515526,-0.078592,533420,181372,TQ334813,"Aldgate","City of London, unparished area",2017-09-01,,17,England,2020-02-19,"Imputed by ONS by reference to surrounding postcode grid references",E01000005
E1 7BH,Yes,51.515175,-0.07761,533489,181335,TQ334813,"Aldgate","City of London, unparished area",1980-01-01,,31,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7BS,Yes,51.515432,-0.076806,533544,181365,TQ335813,"Portsoken","City of London, unparished area",1980-01-01,,31,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7BT,No,51.514988,-0.077185,533519,181315,TQ335813,"Aldgate","City of London, unparished area",1987-10-01,2000-06-01,34,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7DA,Yes,51.516149,-0.076646,533553,181445,TQ335814,"Portsoken","City of London, unparished area",1980-01-01,,25,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7DB,Yes,51.516079,-0.07737,533503,181436,TQ335814,"Portsoken","City of London, unparished area",1980-01-01,,27,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7DD,No,51.51578,-0.078867,533400,181400,TQ333813,"Bishopsgate","City of London, unparished area",1987-04-01,1995-07-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7DG,No,51.51578,-0.078867,533400,181400,TQ333813,"Bishopsgate","City of London, unparished area",1980-01-01,1985-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7DJ,Yes,51.515791,-0.078869,533400,181401,TQ333814,"Bishopsgate","City of London, unparished area",1980-01-01,,29,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7DP,No,51.51578,-0.078867,533400,181400,TQ333813,"Bishopsgate","City of London, unparished area",1980-01-01,1998-06-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7DR,No,51.515755,-0.078998,533391,181397,TQ333813,"Bishopsgate","City of London, unparished area",2001-12-01,2003-07-01,30,England,2020-02-19,"Imputed by ONS by reference to surrounding postcode grid references",E01000005
E1 7DS,No,51.514882,-0.078905,533400,181300,TQ333813,"Aldgate","City of London, unparished area",1980-01-01,1998-06-01,30,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032739
E1 7DW,No,51.51578,-0.078867,533400,181400,TQ333813,"Bishopsgate","City of London, unparished area",1980-01-01,1990-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7EA,Yes,51.516057,-0.076564,533559,181435,TQ335814,"Portsoken","City of London, unparished area",1980-01-01,,26,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7EB,Yes,51.516057,-0.076564,533559,181435,TQ335814,"Portsoken","City of London, unparished area",1980-01-01,,26,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7ED,Yes,51.516057,-0.076564,533559,181435,TQ335814,"Portsoken","City of London, unparished area",1980-01-01,,26,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7EE,Yes,51.515796,-0.077108,533522,181405,TQ335814,"Portsoken","City of London, unparished area",1980-01-01,,28,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7EF,Yes,51.515796,-0.077108,533522,181405,TQ335814,"Portsoken","City of London, unparished area",1980-01-01,,28,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7EG,Yes,51.51635,-0.076897,533535,181467,TQ335814,"Portsoken","City of London, unparished area",1992-08-01,,29,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01000005
E1 7ER,No,51.514811,-0.074584,533700,181300,TQ336813,"Portsoken","City of London, unparished area",1980-01-01,1988-12-01,32,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7ES,Yes,51.51797,-0.078054,533450,181645,TQ334816,"Bishopsgate","City of London, unparished area",1985-04-01,,27,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7EU,No,51.514811,-0.074584,533700,181300,TQ336813,"Portsoken","City of London, unparished area",1980-01-01,1981-12-01,32,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7HA,No,51.518576,-0.078274,533433,181712,TQ334817,"Bishopsgate","City of London, unparished area",1996-06-01,2017-01-01,29,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7HE,No,51.516655,-0.077389,533500,181500,TQ334814,"Bishopsgate","City of London, unparished area",1980-01-01,1991-12-01,25,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7HF,No,51.516655,-0.077389,533500,181500,TQ334814,"Bishopsgate","City of London, unparished area",1980-01-01,1995-01-01,25,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000005
E1 7HP,Yes,51.518126,-0.078235,533437,181662,TQ334816,"Bishopsgate","City of London, unparished area",1980-01-01,,27,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7HT,Yes,51.517807,-0.077974,533456,181627,TQ334816,"Bishopsgate","City of London, unparished area",1995-01-01,,27,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7HU,No,51.518158,-0.078003,533453,181666,TQ334816,"Bishopsgate","City of London, unparished area",2001-06-01,2013-05-01,26,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7HX,No,51.518227,-0.07836,533428,181673,TQ334816,"Bishopsgate","City of London, unparished area",1982-03-01,2016-01-01,28,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7HY,Yes,51.518162,-0.078795,533398,181665,TQ333816,"Bishopsgate","City of London, unparished area",1980-01-01,,32,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
E1 7JA,No,51.517578,-0.078791,533400,181600,TQ334816,"Bishopsgate","City of London, unparished area",1980-01-01,1990-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032739
E1 7JB,No,51.517578,-0.078791,533400,181600,TQ334816,"Bishopsgate","City of London, unparished area",1990-02-01,1991-12-01,29,England,2020-02-19,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01032739
E1 7JD,No,51.517475,-0.078551,533417,181589,TQ334815,"Bishopsgate","City of London, unparished area",1980-01-01,1999-06-01,28,England,2020-02-19,"Within the building of the matched address closest to the postcode mean",E01032739
